sample,total_mutations,exposure_cosine,exposure_l1_distance,mean_absolute_exposure_difference,msigsdk_reconstruction_cosine,deconstructsigs_reconstruction_cosine,reconstruction_cosine_delta,msigsdk_top_signature,deconstructsigs_top_signature,top_signature_agreement
SP53810,185584,0.995429062092337,0.14034738989835424,0.015594154433150471,0.9965730983993086,0.9961329507549064,0.0004401476444022556,SBS4,SBS4,true
SP55142,157043,0.9998288980722356,0.02042131790513365,0.0022690353227926277,0.9922208194122285,0.9921936655910827,0.00002715382114581999,SBS4,SBS4,true
SP55235,113803,0.9983901183293458,0.058142953310855616,0.006460328145650624,0.9923218692737423,0.9922926979437102,0.000029171330032107257,SBS4,SBS4,true
SP54113,110327,0.9994391931343635,0.030718480378896552,0.0034131644865440613,0.9902971534094738,0.9902705896102088,0.000026563799265022503,SBS4,SBS4,true
SP55509,66135,0.999111674934377,0.046775589293227296,0.005197287699247478,0.9906388742585406,0.9905392061363555,0.00009966812218509258,SBS4,SBS4,true
SP53618,61322,0.9941215152606525,0.12588590888267642,0.013987323209186268,0.9932244342050054,0.9917269833772666,0.0014974508277387777,SBS4,SBS4,true
SP53460,53534,0.9984143932454778,0.06050919139517748,0.006723243488353053,0.9892458460674518,0.9891495694086673,0.00009627665878453318,SBS4,SBS4,true
SP50611,53404,0.9999852339775244,0.00869806650542283,0.0009664518339358699,0.9894666431651734,0.9895063105427978,0.000039667377624397204,SBS4,SBS4,true
SP56079,48259,0.9992638958538704,0.04244757362917596,0.00471639706990844,0.9943145362627992,0.9942703075665287,0.00004422869627052073,SBS4,SBS4,true
SP54745,47720,0.9984159125188882,0.05864142637314096,0.006515714041460107,0.9928190107135454,0.9919762494583452,0.0008427612552002195,SBS40,SBS40,true
SP54363,42875,0.9997711959700307,0.022117528211305332,0.0024575031345894813,0.9927525099850684,0.9927475273916155,0.000004982593452829143,SBS4,SBS4,true
SP53387,42320,0.999581766271882,0.03016921194647828,0.003352134660719809,0.9961069417424029,0.9957631861150511,0.0003437556273517828,SBS4,SBS4,true
SP50827,40159,0.9993226697147981,0.04240325916676951,0.004711473240752167,0.9938174107054286,0.9931868412174214,0.0006305694880072155,SBS4,SBS4,true
SP52779,38395,0.9992508828714834,0.04484682377382841,0.004982980419314268,0.9934893799522956,0.9929608196307552,0.0005285603215403611,SBS4,SBS4,true
SP52667,33457,0.9967043331464214,0.09594997622999622,0.01066110846999958,0.9926008693843233,0.9921369123543764,0.00046395702994694865,SBS4,SBS4,true
SP56168,33038,0.9936461880617264,0.10893964691521157,0.012104405212801286,0.9985335126015473,0.9979489171541943,0.0005845954473530091,SBS2,SBS2,true
SP52232,25936,0.9988264677125293,0.057126339348910996,0.006347371038767888,0.9911482888125879,0.9902337192262594,0.0009145695863285175,SBS4,SBS4,true
SP51824,24299,0.997727601470154,0.05997001358836921,0.006663334843152135,0.9924810242019501,0.9924123411152271,0.00006868308672292045,SBS4,SBS4,true
SP53073,23381,0.9966269639623468,0.08193051129614261,0.009103390144015846,0.9863826665621414,0.9867187236160705,0.00033605705392913965,SBS4,SBS4,true
SP55387,20258,0.9950020437304091,0.10675958065933386,0.011862175628814873,0.9852346170615638,0.9847244208539713,0.000510196207592517,SBS4,SBS4,true
SP50317,16156,0.9912500084054945,0.10729335400001047,0.011921483777778942,0.9963611239829029,0.9962764937262721,0.00008463025663074664,SBS13,SBS40,false
SP56303,15716,0.9984103717939157,0.06802340846184823,0.007558156495760915,0.9914342881621558,0.9913376742276276,0.00009661393452820022,SBS40,SBS40,true
SP50713,14053,0.9982361792479116,0.05722981320128556,0.006358868133476174,0.9925452249701953,0.991652317304095,0.0008929076661002844,SBS4,SBS4,true
SP50321,12669,0.9959765858738812,0.0999724844270179,0.01110805382522421,0.991138349271522,0.9892449321907348,0.001893417080787163,SBS4,SBS4,true
SP50263,10313,0.9955982336159771,0.08871653803422327,0.009857393114913697,0.9860999063426185,0.9859354527436083,0.00016445359901018364,SBS40,SBS40,true
SP53548,10088,0.9998624379764725,0.02212447087323194,0.0024582745414702153,0.8458057210739168,0.8456742155080661,0.00013150556585073137,SBS40,SBS40,true
SP55711,7859,0.9936933826370008,0.11853793353720866,0.013170881504134296,0.9872801226849942,0.9870123430952203,0.0002677795897738644,SBS40,SBS40,true
SP50518,6317,0.9980139094975644,0.06215817104626105,0.006906463449584561,0.9856179762015238,0.9855470473965557,0.00007092880496806231,SBS40,SBS40,true
SP51446,5589,0.9958762840025802,0.09358170353127798,0.010397967059030887,0.9730176096423678,0.9727730412269645,0.0002445684154033234,SBS5,SBS5,true
SP52284,5233,0.9942651756919859,0.09457794867009314,0.010508660963343682,0.9694442694888699,0.96927210716993,0.00017216231893990575,SBS5,SBS40,false
SP50592,5066,0.9998054980797473,0.018751297497806428,0.0020834774997562696,0.9756494421776487,0.975650205414509,7.63236860268357e-7,SBS5,SBS5,true
SP51037,4261,0.9941145755723562,0.10195566266359957,0.011328406962622174,0.9801836653132789,0.9799340411009742,0.0002496242123047887,SBS5,SBS5,true
SP52607,4008,0.9952103003563569,0.0856422701938992,0.009515807799322132,0.9848630795336023,0.98471799297697,0.00014508655663225678,SBS5,SBS5,true
SP50485,2322,0.9955547581538007,0.09394368103331427,0.010438186781479362,0.9824333157613699,0.9822452604281043,0.0001880553332656021,SBS5,SBS5,true
SP50412,2099,0.9967614369084662,0.09984026381444581,0.011093362646049536,0.9551194809284113,0.9537377229067185,0.0013817580216927139,SBS5,SBS5,true
SP55309,1798,0.9976183832471527,0.07033092405695268,0.007814547117439187,0.9755111302991187,0.9752931921792757,0.000217938119843053,SBS5,SBS5,true
SP50406,587,0.9877900239711913,0.1345366459273417,0.014948516214149079,0.963051465751129,0.96270100822579,0.00035045752533902075,SBS5,SBS5,true
SP55004,568,0.998400687973714,0.0817177520861844,0.009079750231798266,0.9473181710984248,0.9464878609195844,0.0008303101788403877,SBS5,SBS5,true
