sample,tool,total_mutations,exposure_cosine_vs_msigsdk,msigsdk_top_signature,comparator_top_signature,top_signature_agreement,msigsdk_reconstruction_cosine,comparator_reconstruction_cosine
SP53810,deconstructSigs,185584.0,0.9954290620923371,SBS4,SBS4,True,0.9965730983993089,0.9961329507549062
SP55142,deconstructSigs,157043.0,0.9998288980722356,SBS4,SBS4,True,0.9922208194122292,0.9921936655910824
SP55235,deconstructSigs,113803.0,0.998390118329346,SBS4,SBS4,True,0.9923218692737436,0.9922926979437102
SP54113,deconstructSigs,110327.0,0.9994391931343635,SBS4,SBS4,True,0.9902971534094729,0.9902705896102085
SP55509,deconstructSigs,66135.0,0.9991116749343772,SBS4,SBS4,True,0.990638874258541,0.9905392061363563
SP53618,deconstructSigs,61322.0,0.9941215152606525,SBS4,SBS4,True,0.9932244342050048,0.991726983377266
SP53460,deconstructSigs,53534.0,0.9984143932454775,SBS4,SBS4,True,0.9892458460674518,0.9891495694086667
SP50611,deconstructSigs,53404.0,0.999985233977524,SBS4,SBS4,True,0.9894666431651726,0.9895063105427971
SP56079,deconstructSigs,48259.0,0.9992638958538704,SBS4,SBS4,True,0.9943145362627988,0.9942703075665288
SP54745,deconstructSigs,47720.0,0.9984159125188882,SBS40,SBS40,True,0.9928190107135455,0.9919762494583457
SP54363,deconstructSigs,42875.0,0.9997711959700308,SBS4,SBS4,True,0.9927525099850681,0.9927475273916152
SP53387,deconstructSigs,42320.0,0.9995817662718819,SBS4,SBS4,True,0.9961069417424031,0.9957631861150514
SP50827,deconstructSigs,40159.0,0.9993226697147981,SBS4,SBS4,True,0.9938174107054285,0.9931868412174212
SP52779,deconstructSigs,38395.0,0.9992508828714831,SBS4,SBS4,True,0.9934893799522958,0.9929608196307547
SP52667,deconstructSigs,33457.0,0.9967043331464215,SBS4,SBS4,True,0.9926008693843238,0.9921369123543757
SP56168,deconstructSigs,33038.0,0.9936461880617262,SBS2,SBS2,True,0.998533512601548,0.9979489171541942
SP52232,deconstructSigs,25936.0,0.9988264677125291,SBS4,SBS4,True,0.9911482888125871,0.9902337192262597
SP51824,deconstructSigs,24299.0,0.9977276014701538,SBS4,SBS4,True,0.9924810242019507,0.9924123411152271
SP53073,deconstructSigs,23381.0,0.9966269639623468,SBS4,SBS4,True,0.9863826665621411,0.9867187236160708
SP55387,deconstructSigs,20258.0,0.9950020437304091,SBS4,SBS4,True,0.9852346170615636,0.9847244208539714
SP50317,deconstructSigs,16156.0,0.9912500084054945,SBS13,SBS40,False,0.9963611239829032,0.9962764937262716
SP56303,deconstructSigs,15716.0,0.9984103717939156,SBS40,SBS40,True,0.9914342881621565,0.9913376742276284
SP50713,deconstructSigs,14053.0,0.9982361792479116,SBS4,SBS4,True,0.9925452249701956,0.9916523173040953
SP50321,deconstructSigs,12669.0,0.9959765858738812,SBS4,SBS4,True,0.991138349271522,0.9892449321907353
SP50263,deconstructSigs,10313.0,0.9955982336159771,SBS40,SBS40,True,0.9860999063426192,0.9859354527436093
SP53548,deconstructSigs,10088.0,0.9998624379764723,SBS40,SBS40,True,0.8458057210739167,0.8456742155080661
SP55711,deconstructSigs,7859.0,0.9936933826370008,SBS40,SBS40,True,0.9872801226849944,0.9870123430952206
SP50518,deconstructSigs,6317.0,0.9980139094975642,SBS40,SBS40,True,0.9856179762015232,0.9855470473965555
SP51446,deconstructSigs,5589.0,0.9958762840025802,SBS5,SBS5,True,0.9730176096423676,0.9727730412269645
SP52284,deconstructSigs,5233.0,0.9942651756919861,SBS5,SBS40,False,0.9694442694888705,0.9692721071699306
SP50592,deconstructSigs,5066.0,0.9998054980797473,SBS5,SBS5,True,0.97564944217765,0.9756502054145099
SP51037,deconstructSigs,4261.0,0.9941145755723564,SBS5,SBS5,True,0.9801836653132789,0.9799340411009737
SP52607,deconstructSigs,4008.0,0.995210300356357,SBS5,SBS5,True,0.984863079533602,0.9847179929769702
SP50485,deconstructSigs,2322.0,0.9955547581538007,SBS5,SBS5,True,0.98243331576137,0.9822452604281043
SP50412,deconstructSigs,2099.0,0.9967614369084661,SBS5,SBS5,True,0.9551194809284117,0.9537377229067187
SP55309,deconstructSigs,1798.0,0.9976183832471526,SBS5,SBS5,True,0.9755111302991186,0.975293192179275
SP50406,deconstructSigs,587.0,0.9877900239711915,SBS5,SBS5,True,0.9630514657511295,0.9627010082257904
SP55004,deconstructSigs,568.0,0.998400687973714,SBS5,SBS5,True,0.9473181710984235,0.9464878609195838
SP53810,SigProfilerAssignment,185584.0,0.9939953509501865,SBS4,SBS4,True,0.9965730983993089,0.991277943528493
SP55142,SigProfilerAssignment,157043.0,0.9003908780815579,SBS4,SBS4,True,0.9922208194122292,0.9886132296110229
SP55235,SigProfilerAssignment,113803.0,0.8677698119515753,SBS4,SBS40,False,0.9923218692737436,0.9805195225312475
SP54113,SigProfilerAssignment,110327.0,0.9170425233263467,SBS4,SBS4,True,0.9902971534094729,0.9851041702379371
SP55509,SigProfilerAssignment,66135.0,0.9299604532279165,SBS4,SBS4,True,0.990638874258541,0.9810412256715882
SP53618,SigProfilerAssignment,61322.0,0.9577178692141349,SBS4,SBS4,True,0.9932244342050048,0.987908875271287
SP53460,SigProfilerAssignment,53534.0,0.9729362497719483,SBS4,SBS4,True,0.9892458460674518,0.9821678259732781
SP50611,SigProfilerAssignment,53404.0,0.9719313110506146,SBS4,SBS4,True,0.9894666431651726,0.9848854901019309
SP56079,SigProfilerAssignment,48259.0,0.9376732697420979,SBS4,SBS4,True,0.9943145362627988,0.9889196091176056
SP54745,SigProfilerAssignment,47720.0,0.981165493794739,SBS40,SBS40,True,0.9928190107135455,0.9906274677658378
SP54363,SigProfilerAssignment,42875.0,0.9536271050633854,SBS4,SBS4,True,0.9927525099850681,0.9881524638184315
SP53387,SigProfilerAssignment,42320.0,0.9628031677476726,SBS4,SBS4,True,0.9961069417424031,0.994289802151729
SP50827,SigProfilerAssignment,40159.0,0.9279212580292193,SBS4,SBS4,True,0.9938174107054285,0.9810374697906447
SP52779,SigProfilerAssignment,38395.0,0.9426520549588148,SBS4,SBS4,True,0.9934893799522958,0.9853870644193997
SP52667,SigProfilerAssignment,33457.0,0.9573234373541669,SBS4,SBS4,True,0.9926008693843238,0.9901844631574666
SP56168,SigProfilerAssignment,33038.0,0.9015492945078173,SBS2,SBS40,False,0.998533512601548,0.9970089185694869
SP52232,SigProfilerAssignment,25936.0,0.9128236548876393,SBS4,SBS4,True,0.9911482888125871,0.9856096393662676
SP51824,SigProfilerAssignment,24299.0,0.9629216689854123,SBS4,SBS5,False,0.9924810242019507,0.9879489572400826
SP53073,SigProfilerAssignment,23381.0,0.950923265191613,SBS4,SBS4,True,0.9863826665621411,0.9770304461162441
SP55387,SigProfilerAssignment,20258.0,0.9549061663728455,SBS4,SBS4,True,0.9852346170615636,0.9804209594024463
SP50317,SigProfilerAssignment,16156.0,0.9225445324638288,SBS13,SBS40,False,0.9963611239829032,0.9918142203795451
SP56303,SigProfilerAssignment,15716.0,0.9647555100817702,SBS40,SBS40,True,0.9914342881621565,0.9803813890781816
SP50713,SigProfilerAssignment,14053.0,0.9861665006919467,SBS4,SBS4,True,0.9925452249701956,0.9917586776999378
SP50321,SigProfilerAssignment,12669.0,0.9299052488775921,SBS4,SBS4,True,0.991138349271522,0.9804651742503032
SP50263,SigProfilerAssignment,10313.0,0.7650839032675937,SBS40,SBS40,True,0.9860999063426192,0.9561707288300603
SP53548,SigProfilerAssignment,10088.0,0.9911705976152814,SBS40,SBS40,True,0.8458057210739167,0.8213157074375173
SP55711,SigProfilerAssignment,7859.0,0.8809251720050464,SBS40,SBS40,True,0.9872801226849944,0.9819826257686294
SP50518,SigProfilerAssignment,6317.0,0.7997767743024868,SBS40,SBS40,True,0.9856179762015232,0.9599798962261835
SP51446,SigProfilerAssignment,5589.0,0.556166283382794,SBS5,SBS40,False,0.9730176096423676,0.955260965361287
SP52284,SigProfilerAssignment,5233.0,0.7773752252303749,SBS5,SBS5,True,0.9694442694888705,0.9618342026173176
SP50592,SigProfilerAssignment,5066.0,0.9382045659974988,SBS5,SBS40,False,0.97564944217765,0.9719021535697219
SP51037,SigProfilerAssignment,4261.0,0.710927309881988,SBS5,SBS40,False,0.9801836653132789,0.9627987408111088
SP52607,SigProfilerAssignment,4008.0,0.9235656666429214,SBS5,SBS5,True,0.984863079533602,0.9828151983282245
SP50485,SigProfilerAssignment,2322.0,0.9369129964281134,SBS5,SBS40,False,0.98243331576137,0.9725633094912612
SP50412,SigProfilerAssignment,2099.0,0.9744584902350337,SBS5,SBS5,True,0.9551194809284117,0.9430312775721326
SP55309,SigProfilerAssignment,1798.0,0.8505559662217951,SBS5,SBS5,True,0.9755111302991186,0.9650608657832003
SP50406,SigProfilerAssignment,587.0,0.7178833263508139,SBS5,SBS40,False,0.9630514657511295,0.9531612025204721
SP55004,SigProfilerAssignment,568.0,0.9919851912203472,SBS5,SBS5,True,0.9473181710984235,0.9441570029313432
SP53810,MuSiCal,185584.0,0.9968229958919764,SBS4,SBS4,True,0.9965730983993089,0.996386691697318
SP55142,MuSiCal,157043.0,0.9950775801913094,SBS4,SBS4,True,0.9922208194122292,0.9914611645530143
SP55235,MuSiCal,113803.0,0.9936285687486272,SBS4,SBS4,True,0.9923218692737436,0.9913703577547928
SP54113,MuSiCal,110327.0,0.9174325571327467,SBS4,SBS4,True,0.9902971534094729,0.9851022228195646
SP55509,MuSiCal,66135.0,0.9610329073032118,SBS4,SBS4,True,0.990638874258541,0.9895593018623641
SP53618,MuSiCal,61322.0,0.9642490510605506,SBS4,SBS4,True,0.9932244342050048,0.9922690876705528
SP53460,MuSiCal,53534.0,0.868922963127821,SBS4,SBS4,True,0.9892458460674518,0.9858805114382381
SP50611,MuSiCal,53404.0,0.9420858658016958,SBS4,SBS4,True,0.9894666431651726,0.989006735924554
SP56079,MuSiCal,48259.0,0.9966490449760419,SBS4,SBS4,True,0.9943145362627988,0.9941887186287265
SP54745,MuSiCal,47720.0,1.0000000000000002,SBS40,SBS40,True,0.9928190107135455,0.9928190107135456
SP54363,MuSiCal,42875.0,0.8966142238943409,SBS4,SBS4,True,0.9927525099850681,0.9913944161539359
SP53387,MuSiCal,42320.0,1.0,SBS4,SBS4,True,0.9961069417424031,0.9961069417424032
SP50827,MuSiCal,40159.0,1.0000000000000002,SBS4,SBS4,True,0.9938174107054285,0.9938174107054285
SP52779,MuSiCal,38395.0,0.9551567384509309,SBS4,SBS4,True,0.9934893799522958,0.9922213689920513
SP52667,MuSiCal,33457.0,1.0,SBS4,SBS4,True,0.9926008693843238,0.9926008693840704
SP56168,MuSiCal,33038.0,0.9966848258071762,SBS2,SBS2,True,0.998533512601548,0.9984594142812341
SP52232,MuSiCal,25936.0,0.9510832906916273,SBS4,SBS4,True,0.9911482888125871,0.9889988605301013
SP51824,MuSiCal,24299.0,0.9653364556027956,SBS4,SBS5,False,0.9924810242019507,0.9906492296639753
SP53073,MuSiCal,23381.0,0.9586225652639795,SBS4,SBS4,True,0.9863826665621411,0.9853774620208778
SP55387,MuSiCal,20258.0,0.8966591925085542,SBS4,SBS4,True,0.9852346170615636,0.9829385959942311
SP50317,MuSiCal,16156.0,0.9999982280891176,SBS13,SBS13,True,0.9963611239829032,0.9963612013385635
SP56303,MuSiCal,15716.0,0.9999992401824399,SBS40,SBS40,True,0.9914342881621565,0.991434440961016
SP50713,MuSiCal,14053.0,0.9878388428957466,SBS4,SBS4,True,0.9925452249701956,0.9923611680379851
SP50321,MuSiCal,12669.0,0.9116535724564129,SBS4,SBS4,True,0.991138349271522,0.9888378941283612
SP50263,MuSiCal,10313.0,0.9999796311694029,SBS40,SBS40,True,0.9860999063426192,0.9861015296108852
SP53548,MuSiCal,10088.0,0.9999999999999999,SBS40,SBS40,True,0.8458057210739167,0.8458057210739167
SP55711,MuSiCal,7859.0,0.9999999999999998,SBS40,SBS40,True,0.9872801226849944,0.9872801226849942
SP50518,MuSiCal,6317.0,1.0,SBS40,SBS40,True,0.9856179762015232,0.9856179762015235
SP51446,MuSiCal,5589.0,0.8551095464301346,SBS5,SBS5,True,0.9730176096423676,0.9693486560396566
SP52284,MuSiCal,5233.0,1.0000000000000002,SBS5,SBS5,True,0.9694442694888705,0.9694442694888703
SP50592,MuSiCal,5066.0,0.9979238381937607,SBS5,SBS5,True,0.97564944217765,0.9757218079650222
SP51037,MuSiCal,4261.0,1.0,SBS5,SBS5,True,0.9801836653132789,0.9801836653132787
SP52607,MuSiCal,4008.0,0.9969487780483711,SBS5,SBS5,True,0.984863079533602,0.984613672265984
SP50485,MuSiCal,2322.0,0.9999631111998417,SBS5,SBS5,True,0.98243331576137,0.982434464209139
SP50412,MuSiCal,2099.0,0.9873552494444902,SBS5,SBS5,True,0.9551194809284117,0.9539533985366611
SP55309,MuSiCal,1798.0,0.9987252770742818,SBS5,SBS5,True,0.9755111302991186,0.9755445354907057
SP50406,MuSiCal,587.0,0.9999999999999998,SBS5,SBS5,True,0.9630514657511295,0.9630514657511294
SP55004,MuSiCal,568.0,0.9998222853604937,SBS5,SBS5,True,0.9473181710984235,0.9472945618695287
